sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),y_true,y_pred
5.8,4.0,1.2,0.2,0.2,0.2000000000000006
5.1,2.5,3.0,1.1,1.1,1.1
6.6,3.0,4.4,1.4,1.4,1.4
5.4,3.9,1.3,0.4,0.4,0.4000000000000005
7.9,3.8,6.4,2.0,2.0,1.9999999999999998
6.3,3.3,4.7,1.6,1.6,1.6
6.9,3.1,5.1,2.3,2.3,2.3
5.1,3.8,1.9,0.4,0.4,0.40000000000000013
4.7,3.2,1.6,0.2,0.2,0.19999999999999998
6.9,3.2,5.7,2.3,2.3,2.3
5.6,2.7,4.2,1.3,1.3,1.2999999999999998
5.4,3.9,1.7,0.4,0.4,0.40000000000000036
7.1,3.0,5.9,2.1,2.1,2.0999999999999996
6.4,3.2,4.5,1.5,1.5,1.5
6.0,2.9,4.5,1.5,1.5,1.4999999999999998
4.4,3.2,1.3,0.2,0.2,0.2
5.8,2.6,4.0,1.2,1.2,1.2
5.6,3.0,4.5,1.5,1.5,1.4999999999999996
5.4,3.4,1.5,0.4,0.4,0.4000000000000004
5.0,3.2,1.2,0.2,0.2,0.2000000000000003
5.5,2.6,4.4,1.2,1.2,1.1999999999999995
5.4,3.0,4.5,1.5,1.5,1.4999999999999996
6.7,3.0,5.0,1.7,1.7,1.7
5.0,3.5,1.3,0.3,0.3,0.3000000000000003
7.2,3.2,6.0,1.8,1.8,1.7999999999999996
5.7,2.8,4.1,1.3,1.3,1.2999999999999998
5.5,4.2,1.4,0.2,0.2,0.20000000000000037
5.1,3.8,1.5,0.3,0.3,0.3000000000000002
6.1,2.8,4.7,1.2,1.2,1.1999999999999997
6.3,2.5,5.0,1.9,1.9,1.9
6.1,3.0,4.6,1.4,1.4,1.3999999999999997
7.7,3.0,6.1,2.3,2.3,2.3
5.6,2.5,3.9,1.1,1.1,1.0999999999999999
6.4,2.8,5.6,2.1,2.1,2.0999999999999996
5.8,2.8,5.1,2.4,2.4,2.4000000000000004
5.3,3.7,1.5,0.2,0.2,0.20000000000000023
5.5,2.3,4.0,1.3,1.3,1.2999999999999998
5.2,3.4,1.4,0.2,0.2,0.20000000000000026
6.5,2.8,4.6,1.5,1.5,1.4999999999999998
6.7,2.5,5.8,1.8,1.8,1.7999999999999996
6.8,3.0,5.5,2.1,2.1,2.0999999999999996
5.1,3.5,1.4,0.3,0.3,0.30000000000000027
6.0,2.2,5.0,1.5,1.5,1.4999999999999996
6.3,2.9,5.6,1.8,1.8,1.7999999999999996
6.6,2.9,4.6,1.3,1.3,1.3
7.7,2.6,6.9,2.3,2.3,2.3
5.7,3.8,1.7,0.3,0.3,0.3000000000000004
5.0,3.6,1.4,0.2,0.2,0.20000000000000018
4.8,3.0,1.4,0.3,0.3,0.30000000000000016
5.2,2.7,3.9,1.4,1.4,1.3999999999999997
